nombre,genero,tipo,padre,activa,hoyos,par_decl,par_suma,flags,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,revision_juanjo
C.G. Rocas De Santo Domingo - Azul - Roja (DAMAS),D,18h,,SI,18,72,72,,4,5,4,3,4,5,4,3,4,4,4,5,4,4,3,5,3,4,
C.G. Rocas De Santo Domingo - Azul - Roja (VARONES),V,18h,,SI,18,72,72,,4,5,4,3,4,5,4,3,4,4,4,5,4,4,3,5,3,4,
C.G. Rocas De Santo Domingo - Blanca - Azul (DAMAS),D,18h,,SI,18,72,72,,4,4,5,4,4,3,5,3,4,4,4,3,5,4,4,4,3,5,
C.G. Rocas De Santo Domingo - Blanca - Azul (VARONES),V,18h,,SI,18,72,72,,4,4,3,5,4,4,4,3,5,4,5,4,3,4,5,4,3,4,
C.G. Rocas De Santo Domingo - Blanca - Roja (DAMAS),D,18h,,SI,18,72,72,,4,4,3,5,4,4,4,3,5,4,4,5,4,4,3,5,3,4,
C.G. Rocas De Santo Domingo - Blanca - Roja (VARONES),V,18h,,SI,18,72,72,,4,4,3,5,4,4,4,3,5,4,4,5,4,4,3,5,3,4,
C.G. Rocas De Santo Domingo - Nueva (DAMAS),D,18h,,SI,18,72,72,,4,3,5,4,4,4,5,4,3,4,3,5,4,4,4,5,4,3,
C.G. Rocas De Santo Domingo - Nueva (VARONES),V,18h,,SI,18,72,72,,4,3,5,4,4,4,5,4,3,4,3,5,4,4,4,5,4,3,
C.G. Rocas De Santo Domingo - Roja - Azul (DAMAS),D,18h,,SI,18,72,72,,4,4,5,4,4,3,5,3,4,4,5,4,3,4,5,4,3,4,
C.G. Rocas De Santo Domingo - Roja - Azul (VARONES),V,18h,,SI,18,72,72,,4,4,5,4,4,3,5,3,4,4,5,4,3,4,5,4,3,4,
C.G. Rocas De Santo Domingo - Roja - Blanca (DAMAS),D,18h,,SI,18,72,72,,4,4,5,4,4,3,5,3,4,4,4,3,5,4,4,4,3,5,
C.G. Rocas De Santo Domingo - Roja - Blanca (VARONES),V,18h,,SI,18,72,72,,4,4,5,4,4,3,5,3,4,4,4,3,5,4,4,4,3,5,
C.G. Santa Augusta - Santa Augusta (DAMAS),D,18h,,SI,18,72,72,,4,4,3,5,4,5,4,4,3,4,3,4,5,3,4,4,4,5,
C.G. Santa Augusta - Santa Augusta (VARONES),V,18h,,SI,18,72,72,,4,4,3,5,4,5,4,4,3,4,3,4,5,3,4,4,4,5,
C.G. Sport Frances - Sport Francés (DAMAS),D,18h,,SI,18,72,72,,4,4,4,3,4,4,3,5,5,4,3,4,5,4,4,3,4,5,
C.G. Sport Frances - Sport Francés (VARONES),V,18h,,SI,18,72,72,,4,4,4,3,4,4,3,5,5,4,3,4,5,4,4,3,4,5,
C.G. Tocopilla - Tocopilla (DAMAS),D,18h,,SI,18,72,72,,4,4,3,3,4,5,3,5,5,3,5,5,4,3,4,5,3,4,
C.G. Tocopilla - Tocopilla (VARONES),V,18h,,SI,18,72,72,,4,4,3,3,4,5,3,5,5,3,5,5,4,3,4,5,3,4,
C.G. Valle Escondido - Valle Escondido (DAMAS),D,18h,,SI,18,70,70,,4,5,4,3,4,4,4,3,4,4,5,4,3,4,4,4,3,4,
